"SongPage","Title","Artist"
"song-display.html?song=Every_Breath_You_Take.pdf&id=613","Every Breath You Take","Police"
"song-display.html?song=Blue_Suede_Shoes.pdf&id=612","Blue Suede Shoes","Carl Perkins"
"song-display.html?song=Ill_Follow_The_Sun.pdf&id=611","I'll Follow the Sun","Beatles"
"song-display.html?song=Echo_Beach.pdf&id=610","Echo Beach","Martha and the Muffins"
"song-display.html?song=All_Things_Bright_and_Beautiful.pdf&id=607","All Things Bright and Beautiful",""
"song-display.html?song=SUZANNE.pdf&id=606","Suzanne","Leonard Cohen"
"song-display.html?song=GOD_ONLY_KNOWS_D.pdf&id=604","God Only Knows","Beach Boys"
"song-display.html?song=Runaway.pdf&id=603","Runaway","Del Shannon"
"song-display.html?song=Judy_is_a_Punk.pdf&id=602","Judy is a Punk","Ramones"
"song-display.html?song=Walk_Away_Renee.pdf&id=601","Walk Away Renee","Left Banke"
"song-display.html?song=Soul_Deep.pdf&id=600","Soul Deep","Box Tops"
"song-display.html?song=FERRY_CROSS_THE_MERSEY.pdf&id=598","Ferry Cross The Mersey","Gerry and the Pacemakers"
"song-display.html?song=Rocket_Man.pdf&id=597","Rocket Man","Elton John"
"song-display.html?song=Once_In_A_While.pdf&id=596","Once In A While","Chimes"
"song-display.html?song=Thats_Amore.pdf&id=595","That's Amore","Dean Martin"
"song-display.html?song=VENUS.pdf&id=587","Venus","Shocking Blue"
"song-display.html?song=Time_Warp.pdf&id=584","Time Warp","Rocky Horror"
"song-display.html?song=On_The_Wings_Of_A_Nightingale.pdf&id=583","On The Wings Of A Nightingale","Everly Brothers"
"song-display.html?song=I_Can_See_Clearly_Now.pdf&id=581","I Can See Clearly Now","Johnny Nash"
"song-display.html?song=Daniel.pdf&id=580","Daniel","Elton John"
"song-display.html?song=Only_You.pdf&id=579","Only You","Yazoo"
"song-display.html?song=L_O_V_E.pdf&id=576","L.O.V.E","Nat King Cole"
"song-display.html?song=Hey_Soul_Sister.pdf&id=575","Hey Soul Sister","Train"
"song-display.html?song=House_of_the_Rising_Sun.pdf&id=560","House Of The Rising Sun","Animals"
"song-display.html?song=Without_You.pdf&id=559","Without You","Harry Nilsson"
"song-display.html?song=Pretty_Flamingo.pdf&id=558","Pretty Flamingo","Manfred Mann"
"song-display.html?song=Joanne.pdf&id=557","Joanne","Mike Nesmith"
"song-display.html?song=Midnight_At_The_Oasis.pdf&id=556","Midnight At The Oasis","Maria Muldaur"
"song-display.html?song=Beyond_the_Sea.pdf&id=555","Beyond The Sea","Bobby Darin"
"song-display.html?song=Galveston.pdf&id=554","Galveston","Glen Campbell"
"song-display.html?song=Mr_Rock_and_Roll_F.pdf&id=553","Mr Rock and Roll","Amy Macdonald"
"song-display.html?song=Imagine_G.pdf&id=552","Imagine","John Lennon"
"song-display.html?song=Old_Fashioned_Girl.pdf&id=550","Old Fashioned Girl","Eartha Kitt"
"song-display.html?song=Your_Summer_Dream.pdf&id=536","Your Summer Dream","Beach Boys"
"song-display.html?song=You_Still_Believe_In_Me.pdf&id=534","You Still Believe In Me","Beach Boys"
"song-display.html?song=Your_Song.pdf&id=533","Your Song","Elton John"
"song-display.html?song=Youre_Beautiful.pdf&id=532","You're Beautiful","James Blunt"
"song-display.html?song=You_Really_Got_A_Hold_On_Me.pdf&id=531","You Really Got A Hold On Me","Smokey Robinson and the Miracles"
"song-display.html?song=You_Never_Can_Tell.pdf&id=530","You Never Can Tell","Chuck Berry"
"song-display.html?song=You_Dont_Own_Me.pdf&id=529","You Don't Own Me","Leslie Gore"
"song-display.html?song=You_Cant_Hurry_Love.pdf&id=528","You Can't Hurry Love","Supremes"
"song-display.html?song=You_Belong_With_Me.pdf&id=526","You Belong With Me","Taylor Swift"
"song-display.html?song=You_Are_My_Sunshine.pdf&id=525","You Are My Sunshine",""
"song-display.html?song=You_Aint_Goin_Nowhere_G.pdf&id=524","You Ain't Goin' Nowhere","Bob Dylan"
"song-display.html?song=You_Aint_Goin_Nowhere.pdf&id=523","You Ain't Goin Nowhere","Bob Dylan"
"song-display.html?song=Yellow_River.pdf&id=522","Yellow River","Christie"
"song-display.html?song=Year_of_the_Cat.pdf&id=521","Year of the Cat","Al Stewart"
"song-display.html?song=Wouldnt_It_Be_Nice.pdf&id=520","Wouldn't It Be Nice","Beach Boys"
"song-display.html?song=Worried_Man_Blues.pdf&id=519","Worried Man Blues",""
"song-display.html?song=World_Without_Love.pdf&id=518","World Without Love","Peter and Gordon"
"song-display.html?song=Working_Class_Hero.pdf&id=517","Working Class Hero","John Lennon"
"song-display.html?song=Wish_You_Were_Here.pdf&id=515","Wish You Were Here","Pink Floyd"
"song-display.html?song=Wishing_and_Hoping.pdf&id=514","Wishing And Hoping","Dusty Springfield"
"song-display.html?song=Winter_in_America_Dm7.pdf&id=513","Winter In America","Doug Ashdown"
"song-display.html?song=Winter_in_America.pdf&id=512","Winter In America","Doug Ashdown"
"song-display.html?song=Windy.pdf&id=511","Windy","Association"
"song-display.html?song=Windmills_of_Your_Mind.pdf&id=510","Windmills of Your Mind","Noel Harrison"
"song-display.html?song=Wild_World_Bb.pdf&id=509","Wild World","Cat Stevens"
"song-display.html?song=Wichita_Lineman.pdf&id=508","Wichita Lineman","Glen Campbell"
"song-display.html?song=Who_Put_the_Bomp.pdf&id=507","Who Put The Bomp","Barry Mann"
"song-display.html?song=White_Rabbit.pdf&id=506","White Rabbit","Jefferson Airplane"
"song-display.html?song=When_You_Walk_In_The_Room.pdf&id=505","When You Walk In The Room","Searchers"
"song-display.html?song=When_a_Man_Loves_a_Woman.pdf&id=504","When A Man Loves A Woman","Percy Sledge"
"song-display.html?song=Wendy.pdf&id=502","Wendy","Beach Boys"
"song-display.html?song=We_Gotta_Get_Out_Of_This_Place.pdf&id=501","We Gotta Get Out Of This Place","Animals"
"song-display.html?song=Way_Out_West.pdf&id=500","Way Out West","Dingoes"
"song-display.html?song=Wayfaring_Stranger_Am.pdf&id=499","Wayfaring Stranger",""
"song-display.html?song=Wayfaring_Stranger.pdf&id=498","Wayfaring Stranger","Emmylou Harris"
"song-display.html?song=Warmth_Of_The_Sun.pdf&id=496","Warmth Of The Sun","Beach Boys"
"song-display.html?song=Walk_Of_Life.pdf&id=494","Walk Of Life","Dire Straits"
"song-display.html?song=Walking_On_The_Moon.pdf&id=493","Walking On The Moon","Police"
"song-display.html?song=Walking_After_Midnight.pdf&id=492","Walking After Midnight","Patsy Cline"
"song-display.html?song=Walkin_Down_The_Line.pdf&id=491","Walkin' Down The Line","Bob Dylan"
"song-display.html?song=Upside_Down.pdf&id=487","Upside Down","Paloma Faith"
"song-display.html?song=Unforgotten_Dreams.pdf&id=486","Unforgotten Dreams","King Fox"
"song-display.html?song=Under_The_Boardwalk.pdf&id=485","Under The Boardwalk","Drifters"
"song-display.html?song=Ukulele_Lady.pdf&id=484","Ukulele Lady",""
"song-display.html?song=Ukulele_Baby.pdf&id=483","Ukulele Baby","James Evan Jones"
"song-display.html?song=Two_Out_Of_Three_Aint_Bad.pdf&id=482","Two Out Of Three Ain't Bad","Meatloaf"
"song-display.html?song=Twice_the_Lovin.pdf&id=481","Twice the Lovin'","Jean Shepard"
"song-display.html?song=24_hours_from_tulsa.pdf&id=480","24 Hours From Tulsa","Gene Pitney"
"song-display.html?song=12.30_Young_Girls_are_Coming_to_the_Canyon.pdf&id=479","12.30 (Young Girls Are Coming to the Canyon)","Mamas and the Papas"
"song-display.html?song=Turn_Up_Your_Radio.pdf&id=478","Turn Up Your Radio","Masters Apprentices"
"song-display.html?song=Tumbling_Tumbleweeds.pdf&id=477","Tumbling Tumbleweeds","Sons of the Pioneers"
"song-display.html?song=Try_A_Little_Tenderness.pdf&id=476","Try A Little Tenderness","Otis Redding"
"song-display.html?song=True_Love_Ways.pdf&id=475","True Love Ways","Buddy Holly"
"song-display.html?song=Trouble_Some_More.pdf&id=474","Trouble Some More","Yearlings"
"song-display.html?song=Trail_of_the_Lonesome_Pine.pdf&id=473","Trail of the Lonesome Pine",""
"song-display.html?song=Todays_Teardrops.pdf&id=472","Today's Teardrops","Rick Nelson"
"song-display.html?song=Tiptoe_Through_the_Tulips.pdf&id=471","Tiptoe Through The Tulips","Tiny Tim"
"song-display.html?song=Time_of_the_Season.pdf&id=470","Time of the Season","Zombies"
"song-display.html?song=three_cigarettes_in_an_ashtray.pdf&id=469","Three Cigarettes In An Ashtray","Patsy Cline"
"song-display.html?song=Those_Were_The_Days.pdf&id=467","Those Were The Days","Mary Hopkin"
"song-display.html?song=This_Little_Bird_Em.pdf&id=465","This Little Bird","Marianne Faithfull"
"song-display.html?song=This_Little_Bird.pdf&id=464","This Little Bird","Marianne Faithfull"
"song-display.html?song=This_Dream_of_You.pdf&id=463","This Dream Of You","Bob Dylan"
"song-display.html?song=The_Weight.pdf&id=462","The Weight","Band"
"song-display.html?song=The_Tide_Is_High.pdf&id=461","The Tide Is High","Blondie"
"song-display.html?song=The_Singer_Not_The_Song.pdf&id=460","The Singer Not The Song","Rolling Stones"
"song-display.html?song=The_Rose.pdf&id=459","The Rose","Bette Midler"
"song-display.html?song=These_Boots_Are_Made_For_Walking.pdf&id=458","These Boots Are Made For Walking","Nancy Sinatra"
"song-display.html?song=These_Boots_Are_Made_For_Walking_A.pdf&id=457","These Boots Are Made For Walking","Nancy Sinatra"
"song-display.html?song=The_River.pdf&id=456","The River","Bruce Springsteen"
"song-display.html?song=The_River_F.pdf&id=455","The River","Bruce Springsteen"
"song-display.html?song=The_Real_Thing.pdf&id=454","The Real Thing","Russell Morris"
"song-display.html?song=And_Then_I_Kissed_Her.pdf&id=453","Then I Kissed Her","Beach Boys"
"song-display.html?song=The_Night_Has_A_Thousand_Eyes.pdf&id=452","The Night Has A Thousand Eyes","Bobby Vee"
"song-display.html?song=The_Man_Who_Sold_The_World.pdf&id=451","The Man Who Sold The World","David Bowie"
"song-display.html?song=Liberty_Valance.pdf&id=450","The Man Who Shot Liberty Valance","Gene Pitney"
"song-display.html?song=The_Letter.pdf&id=449","The Letter","Box Tops"
"song-display.html?song=The_Harder_They_Come.pdf&id=448","The Harder They Come","Jimmy Cliff"
"song-display.html?song=Bungalow_Bill.pdf&id=447","The Continuing Story of Bungalow Bill","Beatles"
"song-display.html?song=Temma_Harbour.pdf&id=444","Temma Harbour","Mary Hopkin"
"song-display.html?song=Tell_Me_Ma.pdf&id=443","Tell Me Ma","Traditional"
"song-display.html?song=Tell_Him.pdf&id=442","Tell Him","Exciters"
"song-display.html?song=Tears_For_Two.pdf&id=441","Tears For Two","Dwight Yoakam"
"song-display.html?song=Targets_Air_Conditioner.pdf&id=440","Target's Air Conditioner","Baterz"
"song-display.html?song=Tar_and_Cement.pdf&id=439","Tar and Cement","Verdelle Smith"
"song-display.html?song=Take_This_Waltz.pdf&id=438","Take This Waltz","Leonard Cohen"
"song-display.html?song=Sweet_About_Me.pdf&id=437","Sweet About Me","Gabriella Cilmi"
"song-display.html?song=Sway.pdf&id=436","Sway","Dean Martin"
"song-display.html?song=Surfin_Usa.pdf&id=434","Surfin' USA","Beach Boys"
"song-display.html?song=Surfin_Safari.pdf&id=433","Surfin' Safari","Beach Boys"
"song-display.html?song=Surfer_Girl.pdf&id=432","Surfer Girl","Beach Boys"
"song-display.html?song=Surf_City_G.pdf&id=431","Surf City","Jan and Dean"
"song-display.html?song=Surf_City.pdf&id=430","Surf City","Jan and Dean"
"song-display.html?song=Sunny_Side_Of_Life.pdf&id=429","Sunny Side Of Life","Carter Family"
"song-display.html?song=Sunny_Afternoon.pdf&id=428","Sunny Afternoon","Kinks"
"song-display.html?song=Summer_Wine.pdf&id=427","Summer Wine","Nancy Sinatra and Lee Hazelwood"
"song-display.html?song=Summertime.pdf&id=426","Summertime","George Gershwin"
"song-display.html?song=Sukiyaki.pdf&id=425","Sukiyaki (whistling version!)","Kyu Sakamoto"
"song-display.html?song=Sugar_Sugar.pdf&id=424","Sugar Sugar","Archies"
"song-display.html?song=Stray_Cat_Strut.pdf&id=423","Stray Cat Strut","Stray Cats"
"song-display.html?song=Strange_Brew.pdf&id=422","Strange Brew","Cream"
"song-display.html?song=Starman.pdf&id=421","Starman","David Bowie"
"song-display.html?song=Stand_By_Me.pdf&id=420","Stand By Me","Ben E King"
"song-display.html?song=Spicks_And_Specks.pdf&id=419","Spicks and Specks","Bee Gees"
"song-display.html?song=Space_Oddity.pdf&id=418","Space Oddity","David Bowie"
"song-display.html?song=Sorry_Suzanne.pdf&id=416","Sorry Suzanne","Hollies"
"song-display.html?song=Sophisticated_Hula.pdf&id=415","Sophisticated Hula",""
"song-display.html?song=Sooner_Or_Later.pdf&id=414","Sooner Or Later","Jimmy Cliff"
"song-display.html?song=Somewhere_Over_The_Rainbow.pdf&id=412","Somewhere Over The Rainbow/What a Wonderful World","Israel Kamakawiwo`ole"
"song-display.html?song=Somewhere.pdf&id=411","Somewhere","West Side Story"
"song-display.html?song=Something_Stupid.pdf&id=410","Something Stupid","Nancy Sinatra"
"song-display.html?song=Some_Things_Just_Stick_In_Your_Mind.pdf&id=409","Some Things Just Stick In Your Mind","Vashti Bunyan"
"song-display.html?song=Something.pdf&id=408","Something","Beatles"
"song-display.html?song=Some_Girls.pdf&id=407","Some Girls","Racey"
"song-display.html?song=Solitary_Man.pdf&id=405","Solitary Man","Neil Diamond"
"song-display.html?song=Snoopy_Vs_The_Red_Baron.pdf&id=404","Snoopy vs The Red Baron","Royal Guardsmen"
"song-display.html?song=Smoke_on_the_Water.pdf&id=403","Smoke On The Water","Deep Purple"
"song-display.html?song=Sloop_John_B.pdf&id=402","Sloop John B","Beach Boys"
"song-display.html?song=Sister_Golden_Hair.pdf&id=401","Sister Golden Hair","America"
"song-display.html?song=Singing_The_Blues.pdf&id=400","Singing The Blues","Guy Mitchell"
"song-display.html?song=Silver_Threads_and_Golden_Needles.pdf&id=399","Silver Threads and Golden Needles","Springfields"
"song-display.html?song=Silver_Bells.pdf&id=398","Silver Bells","Bing Crosby and Carol Richards Christmas"
"song-display.html?song=Sentimental_Friend_C.pdf&id=395","Sentimental Friend","Herman's Hermits"
"song-display.html?song=Science_Fiction.pdf&id=393","Science Fiction/Double Feature","Rocky Horror"
"song-display.html?song=Satellite_Of_Love.pdf&id=392","Satellite Of Love","Lou Reed"
"song-display.html?song=Santa_Claus_Is_Coming_To_Town.pdf&id=391","Santa Claus Is Coming To Town","Trad Christmas"
"song-display.html?song=Santa_Baby.pdf&id=390","Santa Baby","Eartha Kitt Christmas"
"song-display.html?song=Sail_On_Sailor.pdf&id=388","Sail On Sailor","Beach Boys"
"song-display.html?song=Sad_Dark_Eyes.pdf&id=387","Sad Dark Eyes","Loved Ones"
"song-display.html?song=Run_To_Me.pdf&id=386","Run To Me","Bee Gees"
"song-display.html?song=Ruby.pdf&id=385","Ruby Don't Take Your Love To Town","Kenny Rogers"
"song-display.html?song=Rock_Me_To_Sleep_In_My_Saddle.pdf&id=384","Rock Me To Sleep In My Saddle","Roy Rogers"
"song-display.html?song=Rockin_Robin.pdf&id=383","Rockin' Robin","Bobby Day"
"song-display.html?song=Rockin_Robin_F.pdf&id=382","Rockin' Robin","Bobby Day"
"song-display.html?song=Road_To_The_Isles.pdf&id=381","Road To The Isles",""
"song-display.html?song=Ring_of_Fire.pdf&id=380","Ring Of Fire","Johnny Cash"
"song-display.html?song=Reuben_James.pdf&id=379","Reuben James","Kenny Rogers"
"song-display.html?song=Reflections_Of_My_Life.pdf&id=378","Reflections Of My Life","Marmalade"
"song-display.html?song=Red_Red_Wine_C.pdf&id=377","Red Red Wine","UB40"
"song-display.html?song=Red_Red_Wine.pdf&id=376","Red Red Wine","UB40"
"song-display.html?song=Raining_In_My_Heart.pdf&id=374","Raining In My Heart","Buddy Holly"
"song-display.html?song=Puppet_on_a_String.pdf&id=373","Puppet On A String","Sandie Shaw"
"song-display.html?song=Proud_Mary.pdf&id=372","Proud Mary","Creedence Clearwater Revival"
"song-display.html?song=Perhaps.pdf&id=370","Perhaps, Perhaps, Perhaps",""
"song-display.html?song=Perfect_Day.pdf&id=369","Perfect Day","Lou Reed"
"song-display.html?song=People_Are_Strange.pdf&id=368","People Are Strange","Doors"
"song-display.html?song=Penny_Lane.pdf&id=367","Penny Lane","Beatles"
"song-display.html?song=Pearly_Shells.pdf&id=366","Pearly Shells","Burl Ives"
"song-display.html?song=Passionate_Kisses.pdf&id=365","Passionate Kisses","Lucinda Williams"
"song-display.html?song=Pancho_and_Lefty.pdf&id=364","Pancho and Lefty","Townes Van Zandt"
"song-display.html?song=Overload.pdf&id=363","Overload","Sugababes"
"song-display.html?song=Out_On_The_Weekend.pdf&id=362","Out On The Weekend","Neil Young"
"song-display.html?song=Open_Up_Your_Heart.pdf&id=361","Open Up Your Heart","G.Wayne Thomas"
"song-display.html?song=On_The_Border.pdf&id=360","On The Border","Al Stewart"
"song-display.html?song=One_Crowded_Hour.pdf&id=359","One Crowded Hour","Augie March"
"song-display.html?song=Oh_Yoko.pdf&id=358","Oh Yoko","John Lennon"
"song-display.html?song=O_Come_Angel_Band.pdf&id=357","O Come Angel Band","Trad"
"song-display.html?song=Oh_Boy.pdf&id=356","Oh Boy","Diana Trask"
"song-display.html?song=Nowhere_Man.pdf&id=355","Nowhere Man","Beatles"
"song-display.html?song=Not_Responsible.pdf&id=354","Not Responsible","Helen Shapiro"
"song-display.html?song=Nights_In_White_Satin_Am.pdf&id=353","Nights In White Satin","Moody Blues"
"song-display.html?song=Nights_in_White_Satin_Em.pdf&id=352","Nights In White Satin","Moody Blues"
"song-display.html?song=New_York_Mining_Disaster_1941.pdf&id=351","New York Mining Disaster 1941","Bee Gees"
"song-display.html?song=Never_Tear_Us_Apart.pdf&id=350","Never Tear Us Apart","INXS"
"song-display.html?song=NASHVILLE_CATS.pdf&id=349","Nashville Cats","Lovin' Spoonful"
"song-display.html?song=My_Last_Cigarette.pdf&id=348","My Last Cigarette","Sheila Hancock"
"song-display.html?song=My_Island_Home.pdf&id=347","My Island Home","Warumpi Band"
"song-display.html?song=My_Canary_Has_Circles_Under_His_Eyes.pdf&id=345","My Canary Has Circles Under His Eyes",""
"song-display.html?song=My_Aim_Is_To_Please_You.pdf&id=344","My Aim Is To Please You","Executives"
"song-display.html?song=Mustang_Sally.pdf&id=343","Mustang Sally","Mack Rice & The Commitments"
"song-display.html?song=Music_To_Watch_Girls_By.pdf&id=342","Music To Watch Girls By","Andy Williams"
"song-display.html?song=Mr_Tambourine_Man.pdf&id=341","Mr Tambourine Man","Byrds"
"song-display.html?song=Mrs_Robinson.pdf&id=340","Mrs Robinson","Simon and Garfunkel"
"song-display.html?song=Mrs_Brown_Youve_Got_a_Lovely_Daughter.pdf&id=339","Mrs Brown You've Got A Lovely Daughter","Hermans Hermits"
"song-display.html?song=Mr_Rock_n_Roll.pdf&id=337","Mr Rock and Roll","Amy Macdonald"
"song-display.html?song=Mr_Moonlight.pdf&id=336","Mr Moonlight","Beatles"
"song-display.html?song=Most_People_I_Know.pdf&id=334","Most People I Know (Think That I'm Crazy)","Billy Thorpe"
"song-display.html?song=Moonlight_Shadow.pdf&id=333","Moonlight Shadow","Mike Oldfield/Maggie Reilly"
"song-display.html?song=Modern_Love.pdf&id=332","Modern Love","David Bowie"
"song-display.html?song=Miss_America.pdf&id=331","Miss America","Mark Lindsay"
"song-display.html?song=Miners_Life.pdf&id=330","Miner's Life","Dick Gaughan"
"song-display.html?song=Merry_Xmas_Everybody.pdf&id=328","Merry Xmas Everybody","Slade Christmas"
"song-display.html?song=Mendocino.pdf&id=327","Mendocino","Sir Douglas Quintet"
"song-display.html?song=Memories_Are_Made_Of_This.pdf&id=326","Memories Are Made Of This","Dean Martin"
"song-display.html?song=Melting_Pot.pdf&id=325","Melting Pot","Blue Mink"
"song-display.html?song=Mellow_Yellow.pdf&id=324","Mellow Yellow","Donovan"
"song-display.html?song=Mele_Kalikimaka_F.pdf&id=323","Mele Kalikimaka","Bing Crosby Christmas"
"song-display.html?song=Mele_Kalikimaka.pdf&id=322","Mele Kalikimaka","Bing Crosby Christmas"
"song-display.html?song=Mecca.pdf&id=321","Mecca","Gene Pitney"
"song-display.html?song=Me_and_Julio.pdf&id=320","Me And Julio","Paul Simon"
"song-display.html?song=Maxwells_Silver_Hammer.pdf&id=319","Maxwell's Silver Hammer","Beatles"
"song-display.html?song=Mary_In_The_Morning.pdf&id=317","Mary In The Morning","Johnny Cymbal"
"song-display.html?song=Man_of_Constant_Sorrow.pdf&id=316","Man of Constant Sorrow","Soggy Bottom Boys"
"song-display.html?song=Mamma_Mia.pdf&id=315","Mamma Mia","Abba"
"song-display.html?song=Mamma_mia_in_C.pdf&id=314","Mamma Mia","Abba"
"song-display.html?song=Make_Me_Smile.pdf&id=313","Make Me Smile","Steve Harley and Cockney Rebel"
"song-display.html?song=Lucy_In_The_Sky_With_Diamonds.pdf&id=312","Lucy In The Sky With Diamonds","Beatles"
"song-display.html?song=Love_Potion.pdf&id=311","Love Potion #9","Clovers"
"song-display.html?song=Love_of_My_Life.pdf&id=310","Love Of My Life","Queen"
"song-display.html?song=Love_Hurts.pdf&id=309","Love Hurts","Everly Brothers"
"song-display.html?song=Losing_My_Religion.pdf&id=308","Losing My Religion","REM"
"song-display.html?song=Long_Black_Veil.pdf&id=307","Long Black Veil","Lefty Frizzell"
"song-display.html?song=Lola.pdf&id=306","Lola","Kinks"
"song-display.html?song=Locomotion.pdf&id=305","Locomotion","Little Eva"
"song-display.html?song=Living_In_A_Childs_Dream.pdf&id=304","Living In A Child's Dream","Master's Apprentices"
"song-display.html?song=Little_Red_Riding_Hood.pdf&id=303","Little Red Riding Hood","Sam the Sham and the Pharaohs"
"song-display.html?song=Little_Queen_Of_Spades.pdf&id=301","Little Queen Of Spades","Robert Johnson"
"song-display.html?song=Little_Deuce_Coupe.pdf&id=300","Little Deuce Coupe","Beach Boys"
"song-display.html?song=LITTLE_BOMBARDIER.pdf&id=299","Little Bombardier","David Bowie"
"song-display.html?song=Limbo_Rock.pdf&id=298","Limbo Rock","Chubby Checker"
"song-display.html?song=Light_My_Fire.pdf&id=297","Light My Fire","Jose Feliciano"
"song-display.html?song=Life_On_Mars.pdf&id=296","Life On Mars","David Bowie"
"song-display.html?song=Let_The_Sunshine_In.pdf&id=294","Let The Sunshine In","Hair"
"song-display.html?song=Xanadu.pdf&id=293","Legend Of Xanadu","Dave Dee, Dozy, Beaky, Mick and Tich"
"song-display.html?song=Leaving_On_A_Jet_Plane_G.pdf&id=292","Leaving On A Jet Plane","Peter Paul and Mary"
"song-display.html?song=Leaving_On_A_Jet_Plane.pdf&id=291","Leaving On A Jet Plane","Peter Paul and Mary"
"song-display.html?song=Leah.pdf&id=290","Leah","Roy Orbison"
"song-display.html?song=Layla.pdf&id=289","Layla (Acoustic Version)","Eric Clapton"
"song-display.html?song=Last_Kiss.pdf&id=288","Last Kiss","J Frank Wilson and the Cavaliers"
"song-display.html?song=Land_Down_Under.pdf&id=287","Land Down Under","Men At Work"
"song-display.html?song=Ku-u-i-po.pdf&id=286","Ku-u-i-po","Elvis Presley"
"song-display.html?song=Kokomo.pdf&id=285","Kokomo","Beach Boys"
"song-display.html?song=Kisses_Sweeter_Than_Wine.pdf&id=284","Kisses Sweeter Than Wine","Weavers"
"song-display.html?song=Kiss_Me_Baby.pdf&id=283","Kiss Me Baby","Beach Boys"
"song-display.html?song=Kings_Of_The_World.pdf&id=282","Kings Of The World","Mississippi"
"song-display.html?song=Jolene.pdf&id=281","Jolene","Dolly Parton"
"song-display.html?song=Jingle_Bell_Rock.pdf&id=280","Jingle Bell Rock","Trad Christmas"
"song-display.html?song=Jealous_Guy.pdf&id=279","Jealous Guy","John Lennon"
"song-display.html?song=Jamaica_Farewell.pdf&id=278","Jamaica Farewell","Harry Belafonte"
"song-display.html?song=Jackson.pdf&id=277","Jackson","Johnny Cash & June Carter Cash"
"song-display.html?song=I_Will_Survive.pdf&id=276","I Will Survive","Gloria Gaynor"
"song-display.html?song=I_Will_Survive_Am.pdf&id=275","I Will Survive","Gloria Gaynor"
"song-display.html?song=I_Will_Follow_You_Into_The_Dark.pdf&id=274","I Will Follow You Into The Dark","Death Cab For Cutie"
"song-display.html?song=Muddy_Water.pdf&id=273","I Washed My Hands In Muddy Water","Stonewall Jackson"
"song-display.html?song=I_WANT_TO_BE_ALONE.pdf&id=272","I Want To Be Alone","Vashti Bunyan"
"song-display.html?song=I_Wanna_Hold_Your_Hand.pdf&id=271","I Wanna Hold Your Hand","Beatles"
"song-display.html?song=Its_Still_Rock_and_Roll_To_Me.pdf&id=269","It's Still Rock and Roll To Me","Billy Joel"
"song-display.html?song=Its_My_Party.pdf&id=268","It's My Party","Lesley Gore"
"song-display.html?song=Its_My_Life.pdf&id=267","It's My Life","Animals"
"song-display.html?song=Its_A_Heartache_F.pdf&id=266","It's A Heartache","Bonnie Tyler"
"song-display.html?song=It_Must_Be_Love.pdf&id=264","It Must Be Love","Labi Siffre"
"song-display.html?song=It_Doesnt_Matter_Any_More.pdf&id=263","It Doesn't Matter Any More","Buddy Holly"
"song-display.html?song=Midnight_Clear.pdf&id=262","It Came Upon The Midnight Clear","Trad"
"song-display.html?song=Is_This_The_Way_To_Amarillo.pdf&id=260","Is This The Way To Amarillo","Tony Christie"
"song-display.html?song=istanbul.pdf&id=259","Istanbul","Four Lads"
"song-display.html?song=Israelites.pdf&id=258","Israelites","Desmond Dekker and the Aces"
"song-display.html?song=Island_in_the_Sun_D.pdf&id=257","Island in the Sun","Harry Belafonte"
"song-display.html?song=Island_in_the_Sun.pdf&id=256","Island In The Sun","Harry Belafonte"
"song-display.html?song=I_Shot_The_Sheriff.pdf&id=255","I Shot The Sheriff","Bob Marley"
"song-display.html?song=I_Scare_Myself.pdf&id=254","I Scare Myself","Dan Hicks"
"song-display.html?song=I_Only_Want_To_Be_With_You_G.pdf&id=253","I Only Want To Be With You","Dusty Springfield"
"song-display.html?song=I_Only_Want_To_Be_With_You.pdf&id=252","I Only Want To Be With You","Dusty Springfield"
"song-display.html?song=Into_My_Arms.pdf&id=251","Into My Arms","Nick Cave"
"song-display.html?song=In_The_Pines.pdf&id=250","In the Pines","Huddy Ledbetter (Leadbelly)"
"song-display.html?song=In_My_Room.pdf&id=249","In My Room","Beach Boys"
"song-display.html?song=In_My_Life.pdf&id=248","In My Life","Beatles"
"song-display.html?song=Indian_Lake.pdf&id=247","Indian Lake","Cowsills"
"song-display.html?song=Indian_Giver.pdf&id=246","Indian Giver","1910 Fruitgum Company"
"song-display.html?song=Indian_Giver_C.pdf&id=245","Indian Giver","1910 Fruitgum Company"
"song-display.html?song=Im_Yours_Bb.pdf&id=243","I'm Yours","Jason Mraz"
"song-display.html?song=Im_Yours.pdf&id=242","I'm Yours","Jason Mraz"
"song-display.html?song=Im_Yours_Album.pdf&id=241","I'm Yours (Album Version)","Jason Mraz"
"song-display.html?song=Im_Yours_Auas.pdf&id=240","I'm Yours (AUAS Version)","Jason Mraz"
"song-display.html?song=Im_Your_Man.pdf&id=239","I'm Your Man","Leonard Cohen"
"song-display.html?song=Im_Straight.pdf&id=238","I'm Straight","Jonathan Richman & the Modern Lovers"
"song-display.html?song=Im_So_Lonesome.pdf&id=237","I'm So Lonesome I Could Cry","Hank Williams"
"song-display.html?song=Im_On_Fire.pdf&id=236","I'm On Fire","Bruce Springsteen"
"song-display.html?song=Im_Not_In_Love.pdf&id=235","I'm Not In Love","10cc"
"song-display.html?song=Im_Into_Something_Good.pdf&id=234","I'm Into Something Good","Herman's Hermits"
"song-display.html?song=Imagine.pdf&id=231","Imagine","John Lennon"
"song-display.html?song=Im_A_Believer.pdf&id=230","I'm A Believer","Monkees"
"song-display.html?song=Ill_Never_Find_Another_You.pdf&id=229","I'll Never Find Another You","Seekers"
